Species,Sample,Values,Metals
Clupisoma garua,Body,7.1,Cr
Clupisoma garua,Head,6.27,Cr
Anabas testudineus,Body,9.54,Cr
Anabas testudineus,Head,8.63,Cr
Cirrhinus reba,Body,13.45,Cr
Cirrhinus reba,Head,12.36,Cr
Mystus vittatus,Body,19.18,Cr
Mystus vittatus,Head,21.54,Cr
Neotropius atherinoides,Body,3.36,Cr
Neotropius atherinoides,Head,2.45,Cr
Tenualosa ilisha,Body,10.27,Cr
Tenualosa ilisha,Head,11.18,Cr
Botia dario,Body,10.46,Cr
Botia dario,Head,9.27,Cr
Pseudambassis ranga,Body,19.55,Cr
Pseudambassis ranga,Head,18,Cr
Clupisoma garua,Body,38.6,Mn
Clupisoma garua,Head,32.6,Mn
Anabas testudineus,Body,15.8,Mn
Anabas testudineus,Head,9.8,Mn
Cirrhinus reba,Body,14.4,Mn
Cirrhinus reba,Head,8.4,Mn
Mystus vittatus,Body,20.8,Mn
Mystus vittatus,Head,14.8,Mn
Neotropius atherinoides,Body,13.8,Mn
Neotropius atherinoides,Head,7,Mn
Tenualosa ilisha,Body,24.6,Mn
Tenualosa ilisha,Head,18.6,Mn
Botia dario,Body,39,Mn
Botia dario,Head,33,Mn
Pseudambassis ranga,Body,41.6,Mn
Pseudambassis ranga,Head,35.6,Mn
Clupisoma garua,Body,2221,Fe
Clupisoma garua,Head,1757.83,Fe
Anabas testudineus,Body,1915.71,Fe
Anabas testudineus,Head,1399.83,Fe
Cirrhinus reba,Body,1826.42,Fe
Cirrhinus reba,Head,1297.5,Fe
Mystus vittatus,Body,2001.71,Fe
Mystus vittatus,Head,1502.1,Fe
Neotropius atherinoides,Body,2050.28,Fe
Neotropius atherinoides,Head,725.33,Fe
Tenualosa ilisha,Body,1779.71,Fe
Tenualosa ilisha,Head,1576.33,Fe
Botia dario,Body,2347.28,Fe
Botia dario,Head,1905.17,Fe
Pseudambassis ranga,Body,2617.86,Fe
Pseudambassis ranga,Head,2220.85,Fe
Clupisoma garua,Body,324,Cu
Clupisoma garua,Head,246.22,Cu
Anabas testudineus,Body,298,Cu
Anabas testudineus,Head,220.22,Cu
Cirrhinus reba,Body,268.33,Cu
Cirrhinus reba,Head,190.56,Cu
Mystus vittatus,Body,317.66,Cu
Mystus vittatus,Head,239.89,Cu
Neotropius atherinoides,Body,246.55,Cu
Neotropius atherinoides,Head,168.78,Cu
Tenualosa ilisha,Body,432.22,Cu
Tenualosa ilisha,Head,321.14,Cu
Botia dario,Body,216.43,Cu
Botia dario,Head,127.56,Cu
Pseudambassis ranga,Body,343.89,Cu
Pseudambassis ranga,Head,266.11,Cu
Clupisoma garua,Body,1094.23,Zn
Clupisoma garua,Head,685.47,Zn
Anabas testudineus,Body,1619,Zn
Anabas testudineus,Head,1245.58,Zn
Cirrhinus reba,Body,1502.61,Zn
Cirrhinus reba,Head,1127.83,Zn
Mystus vittatus,Body,1086.69,Zn
Mystus vittatus,Head,677.25,Zn
Neotropius atherinoides,Body,1454.71,Zn
Neotropius atherinoides,Head,1075.97,Zn
Tenualosa ilisha,Body,1788.78,Zn
Tenualosa ilisha,Head,1437.75,Zn
Botia dario,Body,1553.1,Zn
Botia dario,Head,1349.08,Zn
Pseudambassis ranga,Body,1679.32,Zn
Pseudambassis ranga,Head,1319.25,Zn
Clupisoma garua,Body,40.5,As
Clupisoma garua,Head,7.17,As
Anabas testudineus,Body,41.16,As
Anabas testudineus,Head,7.83,As
Cirrhinus reba,Body,42.67,As
Cirrhinus reba,Head,9.33,As
Mystus vittatus,Body,43.51,As
Mystus vittatus,Head,10.16,As
Neotropius atherinoides,Body,40.33,As
Neotropius atherinoides,Head,7.1,As
Tenualosa ilisha,Body,41.84,As
Tenualosa ilisha,Head,8.53,As
Botia dario,Body,25.39,As
Botia dario,Head,8.67,As
Pseudambassis ranga,Body,42.82,As
Pseudambassis ranga,Head,9.51,As
Clupisoma garua,Body,7.1,Cd
Clupisoma garua,Head,5.89,Cd
Anabas testudineus,Body,10.77,Cd
Anabas testudineus,Head,9.67,Cd
Cirrhinus reba,Body,25.25,Cd
Cirrhinus reba,Head,24.11,Cd
Mystus vittatus,Body,37.28,Cd
Mystus vittatus,Head,35,Cd
Neotropius atherinoides,Body,9.33,Cd
Neotropius atherinoides,Head,8,Cd
Tenualosa ilisha,Body,21.72,Cd
Tenualosa ilisha,Head,19.56,Cd
Botia dario,Body,24.44,Cd
Botia dario,Head,23.44,Cd
Pseudambassis ranga,Body,32.18,Cd
Pseudambassis ranga,Head,31,Cd
Clupisoma garua,Body,13.69,Pb
Clupisoma garua,Head,6,Pb
Anabas testudineus,Body,16.77,Pb
Anabas testudineus,Head,9.07,Pb
Cirrhinus reba,Body,12.54,Pb
Cirrhinus reba,Head,4.84,Pb
Mystus vittatus,Body,15.16,Pb
Mystus vittatus,Head,7.46,Pb
Neotropius atherinoides,Body,12.15,Pb
Neotropius atherinoides,Head,4.46,Pb
Tenualosa ilisha,Body,11.23,Pb
Tenualosa ilisha,Head,3.53,Pb
Botia dario,Body,12.38,Pb
Botia dario,Head,4.69,Pb
Pseudambassis ranga,Body,21.34,Pb
Pseudambassis ranga,Head,6.1,Pb
