Species,Sample,Cr,Mn,Fe,Cu,Zn,As,Cd,Pb
Clupisoma garua,Body,7.1,38.6,2221,324,1094.23,40.5,7.1,13.69
Clupisoma garua,Head,6.27,32.6,1757.83,246.22,685.47,7.17,5.89,6
Anabas testudineus,Body,9.54,15.8,1915.71,298,1619,41.16,10.77,16.77
Anabas testudineus,Head,8.63,9.8,1399.83,220.22,1245.58,7.83,9.67,9.07
Cirrhinus reba,Body,13.45,14.4,1826.42,268.33,1502.61,42.67,25.25,12.54
Cirrhinus reba,Head,12.36,8.4,1297.5,190.56,1127.83,9.33,24.11,4.84
Mystus vittatus,Body,19.18,20.8,2001.71,317.66,1086.69,43.51,37.28,15.16
Mystus vittatus,Head,21.54,14.8,1502.1,239.89,677.25,10.16,35,7.46
Neotropius atherinoides,Body,3.36,13.8,2050.28,246.55,1454.71,40.33,9.33,12.15
Neotropius atherinoides,Head,2.45,7,725.33,168.78,1075.97,7.1,8,4.46
Tenualosa ilisha,Body,10.27,24.6,1779.71,432.22,1788.78,41.84,21.72,11.23
Tenualosa ilisha,Head,11.18,18.6,1576.33,321.14,1437.75,8.53,19.56,3.53
Botia dario,Body,10.46,39,2347.28,216.43,1553.1,25.39,24.44,12.38
Botia dario,Head,9.27,33,1905.17,127.56,1349.08,8.67,23.44,4.69
Pseudambassis ranga,Body,19.55,41.6,2617.86,343.89,1679.32,42.82,32.18,21.34
Pseudambassis ranga,Head,18,35.6,2220.85,266.11,1319.25,9.51,31,6.1
