Treatment,Values,Element
TA,1.4,N (%)
TC,1.02,N (%)
ToM,1.47,N (%)
T1,1.54,N (%)
T2,1.59,N (%)
T3,1.81,N (%)
T4,1.55,N (%)
T5,1.76,N (%)
T6,1.81,N (%)
TA,0.24,P (%)
TC,0.33,P (%)
ToM,0.38,P (%)
T1,0.4,P (%)
T2,0.53,P (%)
T3,0.57,P (%)
T4,0.58,P (%)
T5,0.62,P (%)
T6,0.46,P (%)
TA,1.65,K (%)
TC,1.74,K (%)
ToM,1.84,K (%)
T1,1.93,K (%)
T2,2.3,K (%)
T3,2.5,K (%)
T4,2.12,K (%)
T5,2.52,K (%)
T6,2.31,K (%)
TA,0.38,S (%)
TC,0.22,S (%)
ToM,0.25,S (%)
T1,0.27,S (%)
T2,0.34,S (%)
T3,0.3,S (%)
T4,0.29,S (%)
T5,0.34,S (%)
T6,0.39,S (%)
TA,0.4,Ca (%)
TC,1.6,Ca (%)
ToM,0.6,Ca (%)
T1,0.68,Ca (%)
T2,0.77,Ca (%)
T3,0.83,Ca (%)
T4,0.7,Ca (%)
T5,0.81,Ca (%)
T6,0.81,Ca (%)
TA,0.73,Mg (%)
TC,1.44,Mg (%)
ToM,0.73,Mg (%)
T1,0.88,Mg (%)
T2,1.02,Mg (%)
T3,0.94,Mg (%)
T4,0.98,Mg (%)
T5,0.86,Mg (%)
T6,1.11,Mg (%)
