,Values,label
0,0.03837350760881663,Winter
1,0.05748607671212215,Winter
2,0.03803418369712341,Winter
3,0.05061202939126119,Winter
4,0.015322693747955023,Winter
5,0.03573816444847275,Winter
6,0.03990809414469197,Winter
7,0.04676559824952899,Winter
8,0.06298632944314773,Winter
9,0.061040593978869795,Winter
10,0.05818596555274096,Winter
11,0.014740564521540872,Winter
12,0.0572117067442299,Winter
13,0.07287292106332321,Winter
14,0.030554020625158315,Winter
15,0.05238275931118643,Winter
16,0.08059405969982528,Winter
17,0.05034636115337128,Winter
18,0.1070905730046079,Winter
19,0.040838321543134354,Winter
20,0.03793510471774741,Winter
21,0.05465690914037053,Winter
22,0.0546088888313596,Winter
23,0.045139924807909876,Winter
24,0.08196763061832156,Winter
25,0.048806746071058345,Winter
26,0.0822851837856902,Winter
27,0.05466988485227621,Winter
28,0.031114015009686767,Winter
29,0.10255491927319049,Winter
30,0.04705194879566882,Winter
31,0.05646189646025379,Winter
32,0.04497002090687681,Winter
33,0.019623466009874583,Winter
34,0.03736493491739642,Winter
35,0.07885512423873939,Winter
36,0.07067059048318736,Winter
37,0.05009070185958228,Winter
38,0.06746707120540169,Winter
39,0.04014948128602266,Winter
40,0.07015216083398057,Winter
41,0.08156466783863066,Winter
42,0.03698282255812484,Winter
43,0.048531092710570656,Winter
44,0.034107966545319654,Winter
45,0.03954911830850435,Winter
46,0.06231142041795751,Winter
47,0.05464107126910986,Winter
48,0.05784245304269571,Winter
49,0.06139603589335757,Winter
50,0.05406007115393851,Winter
51,0.07881785757475795,Winter
52,0.03839410015093764,Winter
53,0.043135334668539485,Winter
54,0.1117080843005501,Winter
55,0.026750620535511367,Winter
56,0.09804159570942322,Winter
57,0.028154075162627485,Winter
58,0.0707223610872622,Winter
59,0.06389675336002049,Winter
60,0.027619197658977274,Winter
61,0.06607482846912854,Winter
62,0.07505247010607417,Winter
63,0.06596859100875814,Winter
64,0.02907021444476336,Winter
65,0.06541389446572711,Winter
66,0.05403427855768658,Winter
67,0.027883572353595943,Winter
68,0.044670604013180334,Winter
69,0.018305885721883082,Winter
70,0.01705871170888862,Winter
71,0.004867835518035988,Winter
72,0.034850220042682414,Winter
73,0.07496162507817669,Winter
74,0.06751775553519163,Winter
75,0.04672112177513258,Winter
76,0.048933276250706405,Winter
77,0.06822111643090036,Winter
78,0.09014873126164853,Winter
79,0.0466959333817557,Winter
80,0.05561096427699356,Winter
81,0.02746555622119987,Winter
82,0.05098465553348967,Winter
83,0.03136685979344632,Winter
84,0.054023712127404144,Winter
85,0.04040420584881544,Winter
86,0.0639319303988495,Winter
87,0.08228681976044006,Winter
88,0.04036313893157646,Winter
89,0.03999435866486292,Winter
90,0.03860128083842282,Winter
91,0.02145190705665955,Winter
92,0.041032652757775345,Winter
93,0.09130863171064008,Winter
94,0.061001046880620705,Winter
95,0.07097989320919831,Winter
96,0.039606625076203,Winter
97,0.03360459851926007,Winter
98,0.04626928963907816,Winter
99,0.04695965877431843,Winter
100,0.03793838662380342,Winter
101,0.04834362125300647,Winter
102,0.029663060464197484,Winter
103,0.029834379101047064,Winter
104,0.0714925210769792,Winter
105,0.09304635520594928,Winter
106,0.0469230049449289,Winter
107,0.085692798511193,Winter
108,0.05548374721033404,Winter
109,0.03920961940560577,Winter
110,0.05724534758722147,Winter
111,0.04661857045207991,Winter
112,0.08413008185371727,Winter
113,0.035416072518776806,Winter
114,0.010405415063066779,Winter
115,0.046951330047216605,Winter
