,Values,Seasons
0,0.09004562809366679,Winter
1,0.06636924955747153,Winter
2,0.09234652828932516,Winter
3,0.06973862480428894,Winter
4,0.03573661904956779,Winter
5,0.06825529388909019,Winter
6,0.0523575224142421,Winter
7,0.04667243162963318,Winter
8,0.041028367970469215,Winter
9,0.05983151731562995,Winter
10,0.040419725935635545,Winter
11,0.041755353438404114,Winter
12,0.06997325246979066,Winter
13,0.03609380289276148,Winter
14,0.09284061367939855,Winter
15,0.03605481643369463,Winter
16,0.04372988515035557,Winter
17,0.07976787909339902,Winter
18,0.03326591579378605,Winter
19,0.04825669188175961,Winter
20,0.048292712563650336,Winter
21,0.04743502117750175,Winter
22,0.07066811678433858,Winter
23,0.024288782823845147,Winter
24,0.06422436195509189,Winter
25,0.06455364476282677,Winter
26,0.048570497067726884,Winter
27,0.041202852456421815,Winter
28,0.06198955933228023,Winter
29,0.030930268628808634,Winter
30,0.07275245130627092,Winter
31,0.07157386415627386,Winter
32,0.08201250997920079,Winter
33,0.05346435445185252,Winter
34,0.04096386529102854,Winter
35,0.046038728975796875,Winter
36,0.06958309332990004,Winter
37,0.06757609008171037,Winter
38,0.05243623255849978,Winter
39,0.023347623539663753,Winter
40,0.09638014126638353,Winter
41,0.06688748801342628,Winter
42,0.04150872870230066,Winter
43,0.09916551222414124,Winter
44,0.07067866061976692,Winter
45,0.054808143296633194,Winter
46,0.03341192978632886,Winter
47,0.02474603367845562,Winter
48,0.09221628102070423,Winter
49,0.08233172183616318,Winter
50,0.06261843756997716,Winter
51,0.07303010897905354,Winter
52,0.045453484379300996,Winter
53,0.060353050283531155,Winter
54,0.05510220631026143,Winter
55,0.07226056674576066,Winter
56,0.03460426493140503,Winter
57,0.0381999460812407,Winter
58,0.04217729445783379,Winter
59,0.08217365073706338,Winter
60,0.02778440349151886,Winter
61,0.038694157255091226,Winter
62,0.07897674278009051,Winter
63,0.04584214633834022,Winter
64,0.0351903830841856,Winter
65,0.07183293286766988,Winter
66,0.014981345108240191,Winter
67,0.043011284727396855,Winter
68,0.04894653127974545,Winter
69,0.05453484681617324,Winter
70,0.02709932863282712,Winter
71,0.04418657961577238,Winter
72,0.09578130659895917,Winter
73,0.058748378936065895,Winter
74,0.04165658764725667,Winter
75,0.08283450832887242,Winter
76,0.06682721846434707,Winter
77,0.04869040147856123,Winter
78,0.07767880693850836,Winter
79,0.05579203187415477,Winter
80,0.05266278000963032,Winter
