,Values,Legend
0,64.25219408436536,Normal
1,69.457956715992,Normal
2,94.14001268717134,Normal
3,101.97326173073324,Normal
4,112.26384828748934,Normal
5,99.30357639806743,Normal
6,116.8521789184227,Normal
7,85.17049542263052,Normal
8,128.06096304825496,Normal
9,121.6428823427473,Normal
10,46.49519125204705,Normal
11,151.14808386878795,Normal
12,56.12514205148833,Normal
13,205.14973941158794,Normal
14,196.56190769135003,Normal
15,91.7141030942378,Normal
16,169.18177280098521,Normal
17,47.124580827332665,Normal
18,108.64094689375293,Normal
19,57.72796247792816,Normal
20,114.28819468277518,Normal
21,129.58801420464368,Normal
22,118.80417416484754,Normal
23,76.78238453799955,Normal
24,78.19362300354706,Normal
25,92.40777104654086,Normal
26,71.42756665239489,Normal
27,58.206519212683084,Normal
28,73.84539013425805,Normal
29,73.11974545210656,Normal
30,97.98891079403627,Normal
31,124.16788775344085,Normal
32,101.98029447646171,Normal
33,155.08552184870823,Normal
34,85.49849314205962,Normal
35,101.87379350698583,Normal
36,118.46364773963327,Normal
37,86.16906952043418,Normal
38,150.9231838122763,Normal
39,112.77724704621905,Normal
40,76.78091172835354,Normal
41,134.60970000563805,Normal
42,76.73302700507637,Normal
43,51.17391823234024,Normal
44,192.48272308754204,Normal
45,79.19888951812987,Normal
46,120.2716427351289,Normal
47,78.12689503344683,Normal
48,50.62597954434559,Normal
49,53.27544393559115,Normal
50,59.0489914862696,Normal
51,43.65262797235699,Normal
52,145.55095506806722,Normal
53,91.35123163824089,Normal
54,117.5757192321909,Normal
55,182.1590772827567,Normal
56,109.87255752514707,Normal
57,143.01144546472665,Normal
58,71.94457336053787,Normal
59,103.12023924881125,Normal
60,97.90077208693012,Normal
61,89.31458480919602,Normal
62,203.76510228204955,Normal
63,135.2416881815548,Normal
64,153.54554210736976,Normal
65,133.5520369923622,Normal
66,69.09638451790126,Normal
67,79.39419787959721,Normal
68,59.3499326113576,Normal
69,62.14506718377962,Normal
70,104.1107624617819,Normal
71,93.2581692090687,Normal
72,64.50222160347462,Normal
