,Values,Seasons
0,0.043293969163981705,Winter
1,0.042045114823055035,Winter
2,0.019172252465074785,Winter
3,0.06275206173075155,Winter
4,0.006884305891951397,Winter
5,0.05682396545779479,Winter
6,0.04650195167444009,Winter
7,0.04766014727167858,Winter
8,0.02889112822147326,Winter
9,-0.018007078856148176,Winter
10,0.053550941782790754,Winter
11,0.08443396464437117,Winter
12,0.03563439616418976,Winter
13,0.05457985958231546,Winter
14,0.10516601010867349,Winter
15,0.06589041337005208,Winter
16,0.055983726393039404,Winter
17,0.04535890634186483,Winter
18,0.04868653653084615,Winter
19,0.023699800823980974,Winter
20,0.0594405499873605,Winter
21,0.013439439075993521,Winter
22,0.06708837190430754,Winter
23,0.025231805991526423,Winter
24,0.05616160086158145,Winter
25,-0.007452261460137298,Winter
26,0.03176563986581234,Winter
27,0.07819196308289454,Winter
28,0.0369832580211801,Winter
29,0.022466785946546185,Winter
30,0.06106628614546413,Winter
31,0.026190677020489456,Winter
32,0.07728197329926989,Winter
33,0.07333539870292345,Winter
34,0.03481978603621321,Winter
35,-0.0031781809313903816,Winter
36,0.02768846806547105,Winter
37,-0.0028967110074394993,Winter
38,0.023230726205562477,Winter
39,0.04753599059135566,Winter
40,0.05210190583447763,Winter
41,-0.0287682837943099,Winter
42,0.05938383374586338,Winter
43,0.026569949817562055,Winter
44,0.05277567253512465,Winter
45,0.010306387697843245,Winter
46,0.060992792283911385,Winter
47,0.04851321181205889,Winter
48,0.05383660808111419,Winter
49,0.09689737974200506,Winter
50,0.014522222104966426,Winter
51,0.06659181341562628,Winter
52,0.09001360909998951,Winter
53,0.043900278039776745,Winter
54,0.018924043196175168,Winter
55,0.03848554750372406,Winter
56,0.054950159793267166,Winter
57,0.029747661555048665,Winter
58,0.08194169944312586,Winter
59,0.04725960151157768,Winter
60,0.02433511864803417,Winter
61,-0.00891664137944572,Winter
62,0.05767511899255687,Winter
63,0.04874911464474831,Winter
64,0.056460335771895145,Winter
65,0.0161365756178529,Winter
66,0.029205228394937117,Winter
67,0.04810503053246192,Winter
68,0.03701584664325991,Winter
69,0.020692286079097642,Winter
70,0.006101732765054057,Winter
71,0.06634214003226781,Winter
72,0.06406479549869587,Winter
73,0.03905401934160377,Winter
