,CdW,SrW,FeW,HgW,CoW,NiW,MnW,CuW,CrW,PbW,AsW,cd,m_cd
0,17.157894736842106,1.3777777777777778,3.0395454545454546,29.16,33.952380952380956,14.589396503102087,4.026,17.443478260869565,16.429752066115704,15.105882352941178,8.278221208665906,160.56032931324071,14.596393573930975
1,16.087719298245617,1.2777777777777777,2.338636363636364,29.16,33.23809523809524,14.081218274111675,4.893555555555555,17.247826086956522,16.550964187327825,21.158823529411762,9.657924743443559,165.6925410545619,15.062958277687445
2,17.35087719298246,1.4111111111111112,2.8477272727272727,29.88,34.285714285714285,14.469825155104344,5.030444444444444,17.36304347826087,20.749311294765842,48.741176470588236,24.846066134549602,216.9752968402485,19.725026985477136
3,16.57894736842105,1.538888888888889,2.2981818181818183,29.8,34.142857142857146,14.37112239142696,4.703111111111111,17.31304347826087,19.933884297520663,46.311764705882354,24.32155074116306,211.31335194371394,19.21030472215581
4,15.087719298245615,1.0722222222222222,2.172727272727273,29.12,33.19047619047619,14.040045121263395,4.474444444444444,17.226956521739133,19.487603305785125,45.129411764705885,24.230330672748007,205.23193681435728,18.657448801305208
5,16.315789473684212,1.0944444444444446,3.135,29.64,33.80952380952381,14.579808234630569,5.045555555555556,17.519565217391303,24.69972451790634,49.78235294117647,26.077537058152792,221.6993012524655,20.154481932042316
6,19.263157894736846,1.8944444444444444,4.531818181818182,30.36,34.952380952380956,14.699943598420756,4.132888888888889,20.558695652173913,20.958677685950413,47.86470588235294,24.424173318129988,223.64088649929735,20.330989681754303
7,21.263157894736842,2.2111111111111112,1.8843181818181818,30.52,35.04761904761905,14.743372814438803,4.266222222222222,18.389130434782608,20.870523415977964,47.49411764705882,24.458380843785633,221.14795361355124,20.10435941941375
8,24.894736842105264,2.316666666666667,6.203181818181818,48.08,37.85714285714286,15.104342921601805,5.134,18.45,18.115702479338847,44.88823529411765,24.047890535917904,245.0918994150728,22.28108176500662
9,29.000000000000004,2.35,7.717272727272727,69.04,46.61904761904761,16.08009024252679,8.463777777777777,19.704347826086956,17.60330578512397,44.66470588235294,23.85974914481186,285.10229700500065,25.91839063681824
10,25.92982456140351,2.2444444444444445,4.9,40.32,38.761904761904766,15.324309080654258,4.536444444444444,21.59565217391304,28.56198347107438,50.34705882352941,27.115165336374005,259.63678709774223,23.60334428161293
11,16.035087719298247,1.2166666666666666,2.080909090909091,29.56,33.095238095238095,13.844895657078398,4.306444444444445,17.210869565217394,19.658402203856753,45.258823529411764,24.207525655644243,206.47486262776508,18.770442057069552
12,18.333333333333332,1.538888888888889,2.4308181818181818,30.2,34.80952380952381,14.653130287648054,4.912444444444445,18.31304347826087,24.484848484848484,49.22941176470588,26.020524515393387,224.92596718886531,20.447815198987755
13,26.017543859649127,2.0166666666666666,6.353863636363636,36.92,39.1904761904762,15.820642978003384,5.3853333333333335,21.710869565217394,30.87603305785124,52.311764705882354,27.582668187001143,264.1858621804445,24.016896561858587
14,26.17543859649123,2.2777777777777777,6.131818181818182,33.0,40.71428571428572,16.23237450648618,5.114888888888888,22.436956521739127,25.129476584022044,50.63529411764706,26.43101482326112,254.27932571241732,23.116302337492485
15,27.877192982456144,2.2222222222222223,6.849090909090909,73.24,36.61904761904762,14.985899605188944,7.899555555555556,18.38478260869565,24.914600550964188,50.44117647058823,26.237172177879135,289.6707407016886,26.33370370015351
16,24.73684210526316,2.3055555555555554,1.8081818181818181,31.4,36.42857142857143,14.88437676254935,4.041333333333333,18.419565217391302,31.76308539944904,51.48235294117647,27.924743443557585,245.19460800502907,22.290418909548098
17,19.578947368421055,1.6055555555555556,2.7936363636363635,31.56,35.38095238095238,14.529046813310774,5.002888888888889,18.247826086956522,18.275482093663914,45.21764705882353,24.207525655644243,216.39950826585326,19.672682569623024
18,21.36842105263158,2.2555555555555555,2.771818181818182,32.4,39.0,15.250987027636771,4.999555555555556,19.13695652173913,17.46005509641873,43.94705882352941,23.53477765108324,222.12518546596814,20.193198678724375
19,24.649122807017548,2.2333333333333334,6.5218181818181815,63.24,35.095238095238095,14.318668922729836,7.325333333333334,17.878260869565217,16.490358126721766,44.57058823529412,23.12428734321551,255.44700924826694,23.222455386206086
