Treatment (t/ha),N content (mg/pot),Element
TA,7.56,N (mg/pot)
TC,5.28,N (mg/pot)
T0M,15.97,N (mg/pot)
T1,35.61,N (mg/pot)
T2,38.81,N (mg/pot)
T3,47.11,N (mg/pot)
T4,34.76,N (mg/pot)
T5,41.71,N (mg/pot)
T6,34.68,N (mg/pot)
TA,1.29,P (mg/pot)
TC,1.65,P (mg/pot)
T0M,4.63,P (mg/pot)
T1,9.8,P (mg/pot)
T2,13.61,P (mg/pot)
T3,14.87,P (mg/pot)
T4,13,P (mg/pot)
T5,14.68,P (mg/pot)
T6,10.1,P (mg/pot)
TA,9.02,K (mg/pot)
TC,9.05,K (mg/pot)
T0M,22.26,K (mg/pot)
T1,46.19,K (mg/pot)
T2,58.11,K (mg/pot)
T3,65.25,K (mg/pot)
T4,47.7,K (mg/pot)
T5,59.81,K (mg/pot)
T6,51.51,K (mg/pot)
TA,2.08,S (mg/pot)
TC,1.14,S (mg/pot)
T0M,3.03,S (mg/pot)
T1,6.46,S (mg/pot)
T2,8.59,S (mg/pot)
T3,7.83,S (mg/pot)
T4,6.53,S (mg/pot)
T5,8.07,S (mg/pot)
T6,8.7,S (mg/pot)
TA,2.2,Ca (mg/pot)
TC,8.32,Ca (mg/pot)
T0M,7.26,Ca (mg/pot)
T1,16.25,Ca (mg/pot)
T2,19.48,Ca (mg/pot)
T3,21.66,Ca (mg/pot)
T4,15.75,Ca (mg/pot)
T5,19.2,Ca (mg/pot)
T6,18.06,Ca (mg/pot)
TA,4.02,Mg (mg/pot)
TC,7.49,Mg (mg/pot)
T0M,8.79,Mg (mg/pot)
T1,21.03,Mg (mg/pot)
T2,25.88,Mg (mg/pot)
T3,24.53,Mg (mg/pot)
T4,22.11,Mg (mg/pot)
T5,20.33,Mg (mg/pot)
T6,24.72,Mg (mg/pot)
