Location,Param,y
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Sarankhola Range,Mn,0.62
Sarankhola Range,Mn,0.76
Sarankhola Range,Mn,0.49
Sarankhola Range,Mn,0.5
Sarankhola Range,Mn,0.84
Khulna Range,Mn,0.62
Khulna Range,Mn,0.51
Khulna Range,Mn,0.71
Khulna Range,Mn,0.54
Khulna Range,Mn,0.72
Chandpai Range,Mn,0.88
Chandpai Range,Mn,0.49
Chandpai Range,Mn,0.49
Chandpai Range,Mn,0.49
Chandpai Range,Mn,0.53
Satkhira Range,Mn,0.96
Satkhira Range,Mn,0.78
Satkhira Range,Mn,0.34
Satkhira Range,Mn,0.76
Satkhira Range,Mn,0.32
Sarankhola Range,Fe,2.76
Sarankhola Range,Fe,2.17
Sarankhola Range,Fe,2.78
Sarankhola Range,Fe,2.43
Sarankhola Range,Fe,2.99
Khulna Range,Fe,2.83
Khulna Range,Fe,2.74
Khulna Range,Fe,2.8
Khulna Range,Fe,2.59
Khulna Range,Fe,2.79
Chandpai Range,Fe,3.13
Chandpai Range,Fe,3.09
Chandpai Range,Fe,2.57
Chandpai Range,Fe,2.57
Chandpai Range,Fe,2.44
Satkhira Range,Fe,2.79
Satkhira Range,Fe,2.38
Satkhira Range,Fe,2.55
Satkhira Range,Fe,2.2
Satkhira Range,Fe,2.76
Sarankhola Range,Co,0.26
Sarankhola Range,Co,0
Sarankhola Range,Co,0.3
Sarankhola Range,Co,0.28
Sarankhola Range,Co,0.34
Khulna Range,Co,0.24
Khulna Range,Co,36.5
Khulna Range,Co,32.75
Khulna Range,Co,25.7
Khulna Range,Co,24.54
Chandpai Range,Co,19.04
Chandpai Range,Co,0
Chandpai Range,Co,0
Chandpai Range,Co,1.68
Chandpai Range,Co,1.49
Satkhira Range,Co,2.13
Satkhira Range,Co,2.12
Satkhira Range,Co,2.85
Satkhira Range,Co,8.14
Satkhira Range,Co,8.63
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,11.12
Sarankhola Range,Cu,8.84
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Sarankhola Range,Zn,1.75
Sarankhola Range,Zn,1.89
Sarankhola Range,Zn,1.03
Sarankhola Range,Zn,1.71
Sarankhola Range,Zn,0.67
Khulna Range,Zn,0.8
Khulna Range,Zn,0.74
Khulna Range,Zn,1.35
Khulna Range,Zn,0.99
Khulna Range,Zn,1.26
Chandpai Range,Zn,1.48
Chandpai Range,Zn,1.18
Chandpai Range,Zn,0.75
Chandpai Range,Zn,0.98
Chandpai Range,Zn,0.9
Satkhira Range,Zn,1.89
Satkhira Range,Zn,1.12
Satkhira Range,Zn,1.19
Satkhira Range,Zn,2.8
Satkhira Range,Zn,2.36
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Khulna Range,As,0
Khulna Range,As,4.15
Khulna Range,As,0
Khulna Range,As,0
Khulna Range,As,0
Chandpai Range,As,0
Chandpai Range,As,0
Chandpai Range,As,0
Chandpai Range,As,23.55
Chandpai Range,As,18.7
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Satkhira Range,Pb,0.79
Satkhira Range,Pb,1.21
Satkhira Range,Pb,0.89
Satkhira Range,Pb,0
Satkhira Range,Pb,0
