Location,Param,y
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Mn,0.62
Sarankhola Range,Mn,0.76
Sarankhola Range,Mn,0.49
Sarankhola Range,Mn,0.5
Sarankhola Range,Mn,0.84
Sarankhola Range,Fe,2.76
Sarankhola Range,Fe,2.17
Sarankhola Range,Fe,2.78
Sarankhola Range,Fe,2.43
Sarankhola Range,Fe,2.99
Sarankhola Range,Co,0.26
Sarankhola Range,Co,0
Sarankhola Range,Co,0.3
Sarankhola Range,Co,0.28
Sarankhola Range,Co,0.34
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,11.12
Sarankhola Range,Cu,8.84
Sarankhola Range,Zn,1.75
Sarankhola Range,Zn,1.89
Sarankhola Range,Zn,1.03
Sarankhola Range,Zn,1.71
Sarankhola Range,Zn,0.67
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
