Location,Param,y
Sarankhola Range,K,0.02
Sarankhola Range,K,0.03
Sarankhola Range,K,0.23
Sarankhola Range,K,0.26
Sarankhola Range,K,0.22
Khulna Range,K,0.22
Khulna Range,K,0.23
Khulna Range,K,0.23
Khulna Range,K,0.23
Khulna Range,K,0.16
Chandpai Range,K,0.87
Chandpai Range,K,0.29
Chandpai Range,K,0.3
Chandpai Range,K,0.23
Chandpai Range,K,0.24
Satkhira Range,K,0.29
Satkhira Range,K,0.16
Satkhira Range,K,0.2
Satkhira Range,K,0.35
Satkhira Range,K,0.34
Sarankhola Range,Ca,1.53
Sarankhola Range,Ca,1.81
Sarankhola Range,Ca,1.5
Sarankhola Range,Ca,2.4
Sarankhola Range,Ca,1.56
Khulna Range,Ca,2.34
Khulna Range,Ca,1.75
Khulna Range,Ca,1.42
Khulna Range,Ca,1.29
Khulna Range,Ca,1.78
Chandpai Range,Ca,1.31
Chandpai Range,Ca,1.16
Chandpai Range,Ca,1.63
Chandpai Range,Ca,1.49
Chandpai Range,Ca,2.38
Satkhira Range,Ca,2.34
Satkhira Range,Ca,1.54
Satkhira Range,Ca,1.24
Satkhira Range,Ca,2.89
Satkhira Range,Ca,2.06
Sarankhola Range,Ti,0.62
Sarankhola Range,Ti,1.02
Sarankhola Range,Ti,0.61
Sarankhola Range,Ti,1.18
Sarankhola Range,Ti,1.18
Khulna Range,Ti,0.68
Khulna Range,Ti,0.71
Khulna Range,Ti,0.74
Khulna Range,Ti,0.72
Khulna Range,Ti,0.6
Chandpai Range,Ti,0.75
Chandpai Range,Ti,0.72
Chandpai Range,Ti,0.98
Chandpai Range,Ti,0.69
Chandpai Range,Ti,0.79
Satkhira Range,Ti,1.73
Satkhira Range,Ti,0.79
Satkhira Range,Ti,1.09
Satkhira Range,Ti,1.64
Satkhira Range,Ti,1.14
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Sarankhola Range,Mn,0.6
Sarankhola Range,Mn,0.94
Sarankhola Range,Mn,0.47
Sarankhola Range,Mn,0.55
Sarankhola Range,Mn,0.75
Khulna Range,Mn,0.59
Khulna Range,Mn,0.5
Khulna Range,Mn,0.68
Khulna Range,Mn,0.56
Khulna Range,Mn,0.7
Chandpai Range,Mn,0.75
Chandpai Range,Mn,0.42
Chandpai Range,Mn,0.51
Chandpai Range,Mn,0.51
Chandpai Range,Mn,0.59
Satkhira Range,Mn,0.93
Satkhira Range,Mn,0.88
Satkhira Range,Mn,0.36
Satkhira Range,Mn,0.93
Satkhira Range,Mn,0.32
Sarankhola Range,Fe,1
Sarankhola Range,Fe,1
Sarankhola Range,Fe,1
Sarankhola Range,Fe,1
Sarankhola Range,Fe,1
Khulna Range,Fe,1
Khulna Range,Fe,1
Khulna Range,Fe,1
Khulna Range,Fe,1
Khulna Range,Fe,1
Chandpai Range,Fe,1
Chandpai Range,Fe,1
Chandpai Range,Fe,1
Chandpai Range,Fe,1
Chandpai Range,Fe,1
Satkhira Range,Fe,1
Satkhira Range,Fe,1
Satkhira Range,Fe,1
Satkhira Range,Fe,1
Satkhira Range,Fe,1
Sarankhola Range,Co,0.11
Sarankhola Range,Co,0
Sarankhola Range,Co,0.13
Sarankhola Range,Co,0.14
Sarankhola Range,Co,0.13
Khulna Range,Co,0.1
Khulna Range,Co,15.67
Khulna Range,Co,13.74
Khulna Range,Co,11.64
Khulna Range,Co,10.34
Chandpai Range,Co,7.13
Chandpai Range,Co,0
Chandpai Range,Co,0
Chandpai Range,Co,0.76
Chandpai Range,Co,0.72
Satkhira Range,Co,0.9
Satkhira Range,Co,1.05
Satkhira Range,Co,1.31
Satkhira Range,Co,4.34
Satkhira Range,Co,3.67
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,2.47
Sarankhola Range,Cu,1.59
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
