Location,Param,y
Sarankhola Range,K,0.03
Sarankhola Range,K,0.03
Sarankhola Range,K,0.24
Sarankhola Range,K,0.23
Sarankhola Range,K,0.24
Khulna Range,K,0.23
Khulna Range,K,0.24
Khulna Range,K,0.24
Khulna Range,K,0.22
Khulna Range,K,0.17
Chandpai Range,K,1.01
Chandpai Range,K,0.33
Chandpai Range,K,0.29
Chandpai Range,K,0.22
Chandpai Range,K,0.22
Satkhira Range,K,0.3
Satkhira Range,K,0.14
Satkhira Range,K,0.19
Satkhira Range,K,0.29
Satkhira Range,K,0.35
Sarankhola Range,Ca,1.57
Sarankhola Range,Ca,1.45
Sarankhola Range,Ca,1.55
Sarankhola Range,Ca,2.16
Sarankhola Range,Ca,1.73
Khulna Range,Ca,2.45
Khulna Range,Ca,1.77
Khulna Range,Ca,1.47
Khulna Range,Ca,1.24
Khulna Range,Ca,1.84
Chandpai Range,Ca,1.52
Chandpai Range,Ca,1.34
Chandpai Range,Ca,1.55
Chandpai Range,Ca,1.42
Chandpai Range,Ca,2.15
Satkhira Range,Ca,2.41
Satkhira Range,Ca,1.35
Satkhira Range,Ca,1.17
Satkhira Range,Ca,2.36
Satkhira Range,Ca,2.11
Sarankhola Range,Ti,0.64
Sarankhola Range,Ti,0.82
Sarankhola Range,Ti,0.63
Sarankhola Range,Ti,1.07
Sarankhola Range,Ti,1.31
Khulna Range,Ti,0.72
Khulna Range,Ti,0.72
Khulna Range,Ti,0.77
Khulna Range,Ti,0.69
Khulna Range,Ti,0.62
Chandpai Range,Ti,0.87
Chandpai Range,Ti,0.83
Chandpai Range,Ti,0.93
Chandpai Range,Ti,0.66
Chandpai Range,Ti,0.72
Satkhira Range,Ti,1.79
Satkhira Range,Ti,0.69
Satkhira Range,Ti,1.03
Satkhira Range,Ti,1.34
Satkhira Range,Ti,1.16
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Sarankhola Range,Mn,0.62
Sarankhola Range,Mn,0.76
Sarankhola Range,Mn,0.49
Sarankhola Range,Mn,0.5
Sarankhola Range,Mn,0.84
Khulna Range,Mn,0.62
Khulna Range,Mn,0.51
Khulna Range,Mn,0.71
Khulna Range,Mn,0.54
Khulna Range,Mn,0.72
Chandpai Range,Mn,0.88
Chandpai Range,Mn,0.49
Chandpai Range,Mn,0.49
Chandpai Range,Mn,0.49
Chandpai Range,Mn,0.53
Satkhira Range,Mn,0.96
Satkhira Range,Mn,0.78
Satkhira Range,Mn,0.34
Satkhira Range,Mn,0.76
Satkhira Range,Mn,0.32
Sarankhola Range,Fe,1.02
Sarankhola Range,Fe,0.8
Sarankhola Range,Fe,1.03
Sarankhola Range,Fe,0.9
Sarankhola Range,Fe,1.11
Khulna Range,Fe,1.05
Khulna Range,Fe,1.01
Khulna Range,Fe,1.04
Khulna Range,Fe,0.96
Khulna Range,Fe,1.03
Chandpai Range,Fe,1.16
Chandpai Range,Fe,1.15
Chandpai Range,Fe,0.95
Chandpai Range,Fe,0.95
Chandpai Range,Fe,0.91
Satkhira Range,Fe,1.03
Satkhira Range,Fe,0.88
Satkhira Range,Fe,0.95
Satkhira Range,Fe,0.82
Satkhira Range,Fe,1.02
Sarankhola Range,Co,0.11
Sarankhola Range,Co,0
Sarankhola Range,Co,0.13
Sarankhola Range,Co,0.12
Sarankhola Range,Co,0.15
Khulna Range,Co,0.1
Khulna Range,Co,15.87
Khulna Range,Co,14.24
Khulna Range,Co,11.17
Khulna Range,Co,10.67
Chandpai Range,Co,8.28
Chandpai Range,Co,0
Chandpai Range,Co,0
Chandpai Range,Co,0.73
Chandpai Range,Co,0.65
Satkhira Range,Co,0.93
Satkhira Range,Co,0.92
Satkhira Range,Co,1.24
Satkhira Range,Co,3.54
Satkhira Range,Co,3.75
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Satkhira Range,Ni,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,0
Sarankhola Range,Cu,0
