Metals,Ghagra (Clupisoma garua),"Koi
 (Anabas testudineus)","Tatkini
 (Cirrhinus reba)",Tengra (Mystus vittatus),Batashi (Neotropius atherinoides),Jatka (juvenile) Tenualosa ilisha,Rani (Botia dario),"Chanda
 (Pseudambassis ranga)"
Cr,0.78,1.05,1.48,2.11,0.37,1.23,1.15,2.15
Mn,1.93,0.79,0.72,1.04,0.69,1.23,1.95,2.08
Fe,155.47,134.1,127.85,140.12,143.52,124.58,164.31,183.25
Co,2.27,3.68,4.61,6.13,4.49,4.05,4.52,5.77
Cu,29.16,26.82,24.15,28.59,22.19,38.9,19.48,30.95
Zn,142.25,210.47,195.34,141.27,189.11,232.53,201.89,218.31
As,2.43,2.47,2.56,2.61,2.42,2.51,1.52,2.57
Se,4.79,5.99,6.77,7.37,5.21,6.39,6.15,7.1
Pb,1.78,2.18,1.63,1.97,1.58,1.46,1.61,2.78
Cd,0.63,0.97,2.27,3.35,0.84,1.95,2.2,2.89
Hg,0.57,0.78,0.99,1.27,0.71,1.73,0.95,1.58
Protein,9.8,10.4,11.3,11.5,9.1,12.7,9.3,10.5
OPFA,0.8,0.495,0.36,0.235,0.42,0.55,0.465,0.315
Lipid,7.79,7.1,4.82,2.1,5.7,6.56,6.15,2.69
