,CdR,SrR,FeR,HgR,CoR,NiR,MnR,CuR,CrR,PbR,AsR
0,3.1026150664828864,-0.28052183256263485,0.39133971997990963,4.058893689053568,3.626782676415783,2.318438664661409,0.30337675338954656,2.658939508523957,1.1617961859387906,3.1214405357930524,2.4567085360845295
1,2.967263213588,-0.5337371773659829,0.8630481127959551,4.055495112591704,3.580240090478753,2.2105518885520072,0.6298546874833533,2.6217358767232573,1.2166382566651486,3.1830181830023037,2.5138770594068975
2,3.1133414730759448,-0.10202093694050876,1.0494612370268366,4.0891258904729835,3.4043902550793352,2.2667746294574074,0.833543670141393,2.6481495919216624,2.4525122046975065,3.570089224239626,2.79827914301877
3,3.006919413939791,-0.30179044931628624,0.959944319300913,4.0891258904729835,3.69389687227432,2.2888394364022915,0.6716419000998403,2.628613507931652,2.2756344426134274,3.271486970864618,2.6988863883882646
4,2.809994803930308,-0.5936797178222651,0.7363033517672061,4.055495112591704,3.355480654598389,2.202869506060491,0.5086698276823169,2.610385097601063,2.178994954988112,3.126532405928932,2.6967411165567077
5,2.993047239358233,-0.4681488357384062,1.201528306660491,4.065666917648994,3.537028023657454,2.328333982536141,0.8697752419250934,2.8029027806509275,3.079647144584919,3.67633685374189,2.9803807267196967
6,3.2459792416540636,0.41068547473913686,0.5752930751326414,4.092446248764595,3.69389687227432,2.3177029711009025,0.3724048774437627,3.309712626268426,2.4719645673636794,3.5392383619911754,2.720165462068038
7,3.340306624202217,0.4994296865692164,0.537931404722083,4.102361717629678,3.6359136881679115,2.3524800698678434,0.3295398695985363,2.76178586151407,2.5794930316681244,3.498578194821547,2.734876245443479
8,3.307054818405832,0.6060521061030109,0.38188603271327454,4.1509418980747395,3.8589561185448167,2.4180151990787393,0.29011509254811646,2.8527039092324773,1.7973235676513153,3.0922421395376585,2.6553628753243785
9,3.6774937864750123,0.6547079120471273,0.24668410626972934,4.341595128343439,4.507483748043438,2.620494442817264,0.22401734718451904,3.064991023965567,1.6399799787973603,3.057116970798361,2.6330986211058947
10,3.6975913558320617,0.6583835701905256,0.9716956596690403,4.1761975984578426,4.00705475753395,2.480702269007034,0.6754195064965534,3.3085710277590947,3.5011860514331965,3.72973402493513,3.1404740488360177
11,2.9601504873934337,-0.5506109959303791,0.6970914302062727,4.065666917648994,3.3499424710569587,2.118648519131173,0.49464231140907083,2.650404155657399,2.2191984969837124,3.1433766724753376,2.516311988323951
12,3.145050332803283,-0.09581578741380073,0.9114415349159241,4.118737546583523,3.6175935049611225,2.325896997090308,0.6534555391529981,2.830207593111422,3.0483139377801276,3.6166713604484944,2.9554753849568765
13,3.757625064732299,0.26399974213002414,0.49879567092891036,4.207157907641287,4.031478231473168,2.5595693432927584,0.32224047762475116,3.345218241525841,3.2866614647624517,4.001386540270962,3.1916443092463327
14,3.767165831941905,0.5791568790399504,0.25114145803649124,4.2102177073903455,4.204091604593504,2.62148837674627,0.26210429488616976,3.1158035820952086,2.468740666489393,3.757898535501934,3.0542931211747915
15,3.9130428225901137,0.6249605686530754,0.9846909816365986,4.258311995591391,3.736965594166206,2.4019083885801895,0.775020385129438,2.84209147448251,2.409443482805621,3.8464547417465447,2.960848557055728
16,3.9825548655405907,0.6324551051999995,0.24668410626972934,4.134929580086109,3.819427754358179,2.3808144466302656,0.22592668446808864,2.808566761726412,3.3817148171114386,3.9347342285338316,3.1053235936982526
17,3.249873157758555,-0.06518416876013741,1.0238575958549685,4.1509418980747395,3.6718705659443214,2.4180151990787393,0.8063663269578002,2.6736450988136697,2.340566678247824,3.2973043079185396,2.72648845995076
18,3.3126502812993515,0.6211986498568762,1.037684069250483,4.1761975984578426,3.964199278572153,2.218324977755718,0.8292797908737002,2.7382379991061505,1.5814843294872158,3.124837111913774,2.612762723917355
19,3.6760474755359476,0.5517507216992986,0.5982168031393067,4.115477217419936,3.69389687227432,2.1154066648101515,0.47999715157923134,2.7721754717400064,1.1907828148196262,3.212050477114989,2.4892990366862313
